["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.9229112205050503e+14 6.0641603804320474e-02 1.3420107340712750e+00
1.9241729732744106e+14 6.0462918938957243e-02 1.3954084673932592e+00
1.9254347260437709e+14 6.0290499051702126e-02 1.4485698286337692e+00
1.9266964788131312e+14 6.0125389659624377e-02 1.5015380192183432e+00
1.9279582315824916e+14 5.9968229696545021e-02 1.5543573031049343e+00
1.9292199843518519e+14 5.9819269992335208e-02 1.6070714732261784e+00
1.9304817371212122e+14 5.9678409991762986e-02 1.6597224335787713e+00
1.9317434898905725e+14 5.9545249984835770e-02 1.7123489683259789e+00
1.9330052426599325e+14 5.9419155331163265e-02 1.7649857559784716e+00
1.9342669954292928e+14 5.9299328613468517e-02 1.8176626696860256e+00
1.9355287481986531e+14 5.9184885378335154e-02 1.8704043855582455e+00
1.9359660086208747e+14 5.9146316474169860e-02 1.8887008418344735e+00
1.9363532405457916e+14 5.9112580690027450e-02 1.9049129500220219e+00
1.9367905009680134e+14 5.9074929119777894e-02 1.9232303014403966e+00
1.9380522537373738e+14 5.8968621415082530e-02 1.9761547502358732e+00
1.9393140065067341e+14 5.8865243597030693e-02 2.0291874758857591e+00
1.9405757592760944e+14 5.8764246995462920e-02 2.0823343272752668e+00
1.9418375120454544e+14 5.8665289552166530e-02 2.1355981160183295e+00
1.9430992648148147e+14 5.8568257454504891e-02 2.1889795783207595e+00
1.9443610175841750e+14 5.8473271296631567e-02 2.2424783787667804e+00
1.9456227703535353e+14 5.8380677119741362e-02 2.2960940946155928e+00
1.9468845231228956e+14 5.8291023467759308e-02 2.3498271227153742e+00
1.9481462758922559e+14 5.8205026290746073e-02 2.4036794571367448e+00
1.9494080286616162e+14 5.8123524108746633e-02 2.4576552938312655e+00
1.9506697814309762e+14 5.8047426291571745e-02 2.5117614287553822e+00
1.9519315342003366e+14 5.7977657597231197e-02 2.5660074276599909e+00
1.9531932869696969e+14 5.7915102230714749e-02 2.6204055586975894e+00
1.9544550397390572e+14 5.7860550629193978e-02 2.6749704925940780e+00
1.9557167925084175e+14 5.7814651951449546e-02 2.7297187886431091e+00
1.9569785452777778e+14 5.7777874859850760e-02 2.7846681973861473e+00
1.9582402980471381e+14 5.7750478654659258e-02 2.8398368216511796e+00
1.9595020508164981e+14 5.7732496184920989e-02 2.8952421858168829e+00
1.9607638035858584e+14 5.7723729258312921e-02 2.9509002680913516e+00
1.9620255563552188e+14 5.7723756550075361e-02 3.0068245518563304e+00
1.9632873091245791e+14 5.7731953315745432e-02 3.0630251496857981e+00
1.9645490618939394e+14 5.7747521588048203e-02 3.1195080478019266e+00
1.9658108146632997e+14 5.7769529021774464e-02 3.1762745101004546e+00
1.9670725674326600e+14 5.7796954168228339e-02 3.2333206703008841e+00
1.9683343202020200e+14 5.7828735727065109e-02 3.2906373292055004e+00
1.9695960729713803e+14 5.7863823239952997e-02 3.3482099624206598e+00
1.9708578257407406e+14 5.7901226748284365e-02 3.4060189330151176e+00
